state,action,value
rnbqkbnr/pp1ppppp/8/2p5/5P2/P7/1PPPP1PP/RNBQKBNR b KQkq - 0 2,d7d5,-64
rnbqkbnr/pp2pppp/8/2pp4/5P2/P7/1PPPP1PP/RNBQKBNR w KQkq - 0 3,e2e3,-52
rnbqkbnr/pp2pppp/8/2pp4/5P2/P3P3/1PPP2PP/RNBQKBNR b KQkq - 0 3,g7g6,-42
rnbqkbnr/pp2pp1p/6p1/2pp4/5P2/P3P3/1PPP2PP/RNBQKBNR w KQkq - 0 4,d2d4,-37
rnbqkbnr/pp2pp1p/6p1/2pp4/3P1P2/P3P3/1PP3PP/RNBQKBNR b KQkq - 0 4,f8g7,-46
rnbqk1nr/pp2ppbp/6p1/2pp4/3P1P2/P3P3/1PP3PP/RNBQKBNR w KQkq - 1 5,f1d3,-47
rnbqk1nr/pp2ppbp/6p1/2pp4/3P1P2/P2BP3/1PP3PP/RNBQK1NR b KQkq - 2 5,g8h6,-56
rnbqk2r/pp2ppbp/6pn/2pp4/3P1P2/P2BP3/1PP3PP/RNBQK1NR w KQkq - 3 6,c2c3,-56
rnbqk2r/pp2ppbp/6pn/2pp4/3P1P2/P1PBP3/1P4PP/RNBQK1NR b KQkq - 0 6,e8g8,-51
rnbq1rk1/pp2ppbp/6pn/2pp4/3P1P2/P1PBP3/1P4PP/RNBQK1NR w KQ - 1 7,h2h3,-76
rnbq1rk1/pp2ppbp/6pn/2pp4/3P1P2/P1PBP2P/1P4P1/RNBQK1NR b KQ - 0 7,b8c6,-60
r1bq1rk1/pp2ppbp/2n3pn/2pp4/3P1P2/P1PBP2P/1P4P1/RNBQK1NR w KQ - 1 8,g1f3,-52
r1bq1rk1/pp2ppbp/2n3pn/2pp4/3P1P2/P1PBPN1P/1P4P1/RNBQK2R b KQ - 2 8,c5c4,-66
r1bq1rk1/pp2ppbp/2n3pn/3p4/2pP1P2/P1PBPN1P/1P4P1/RNBQK2R w KQ - 0 9,d3c2,-57
r1bq1rk1/pp2ppbp/2n3pn/3p4/2pP1P2/P1P1PN1P/1PB3P1/RNBQK2R b KQ - 1 9,c8f5,-80
r2q1rk1/pp2ppbp/2n3pn/3p1b2/2pP1P2/P1P1PN1P/1PB3P1/RNBQK2R w KQ - 2 10,e1g1,-63
r2q1rk1/pp2ppbp/2n3pn/3p1b2/2pP1P2/P1P1PN1P/1PB3P1/RNBQ1RK1 b - - 3 10,f5c2,-63
r2q1rk1/pp2ppbp/2n3pn/3p4/2pP1P2/P1P1PN1P/1Pb3P1/RNBQ1RK1 w - - 0 11,d1c2,-63
r2q1rk1/pp2ppbp/2n3pn/3p4/2pP1P2/P1P1PN1P/1PQ3P1/RNB2RK1 b - - 0 11,h6f5,-76
r2q1rk1/pp2ppbp/2n3p1/3p1n2/2pP1P2/P1P1PN1P/1PQ3P1/RNB2RK1 w - - 1 12,f1e1,-42
r2q1rk1/pp2ppbp/2n3p1/3p1n2/2pP1P2/P1P1PN1P/1PQ3P1/RNB1R1K1 b - - 2 12,f5d6,-55
r2q1rk1/pp2ppbp/2nn2p1/3p4/2pP1P2/P1P1PN1P/1PQ3P1/RNB1R1K1 w - - 3 13,b1d2,-49
r2q1rk1/pp2ppbp/2nn2p1/3p4/2pP1P2/P1P1PN1P/1PQN2P1/R1B1R1K1 b - - 4 13,f7f5,-23
r2q1rk1/pp2p1bp/2nn2p1/3p1p2/2pP1P2/P1P1PN1P/1PQN2P1/R1B1R1K1 w - - 0 14,b2b3,-37
r2q1rk1/pp2p1bp/2nn2p1/3p1p2/2pP1P2/PPP1PN1P/2QN2P1/R1B1R1K1 b - - 0 14,c4b3,-25
r2q1rk1/pp2p1bp/2nn2p1/3p1p2/3P1P2/PpP1PN1P/2QN2P1/R1B1R1K1 w - - 0 15,c2b3,-23
r2q1rk1/pp2p1bp/2nn2p1/3p1p2/3P1P2/PQP1PN1P/3N2P1/R1B1R1K1 b - - 0 15,e7e6,-30
r2q1rk1/pp4bp/2nnp1p1/3p1p2/3P1P2/PQP1PN1P/3N2P1/R1B1R1K1 w - - 0 16,a3a4,-30
r2q1rk1/pp4bp/2nnp1p1/3p1p2/P2P1P2/1QP1PN1P/3N2P1/R1B1R1K1 b - - 0 16,c6a5,-26
r2q1rk1/pp4bp/3np1p1/n2p1p2/P2P1P2/1QP1PN1P/3N2P1/R1B1R1K1 w - - 1 17,b3c2,-31
r2q1rk1/pp4bp/3np1p1/n2p1p2/P2P1P2/2P1PN1P/2QN2P1/R1B1R1K1 b - - 2 17,f8e8,-25
r2qr1k1/pp4bp/3np1p1/n2p1p2/P2P1P2/2P1PN1P/2QN2P1/R1B1R1K1 w - - 3 18,c1a3,-27
r2qr1k1/pp4bp/3np1p1/n2p1p2/P2P1P2/B1P1PN1P/2QN2P1/R3R1K1 b - - 4 18,a5c4,-26
r2qr1k1/pp4bp/3np1p1/3p1p2/P1nP1P2/B1P1PN1P/2QN2P1/R3R1K1 w - - 5 19,a3d6,-27
r2qr1k1/pp4bp/3Bp1p1/3p1p2/P1nP1P2/2P1PN1P/2QN2P1/R3R1K1 b - - 0 19,c4d6,-56
r2qr1k1/pp4bp/3np1p1/3p1p2/P2P1P2/2P1PN1P/2QN2P1/R3R1K1 w - - 0 20,e1b1,-63
r2qr1k1/pp4bp/3np1p1/3p1p2/P2P1P2/2P1PN1P/2QN2P1/RR4K1 b - - 1 20,a8c8,-65
2rqr1k1/pp4bp/3np1p1/3p1p2/P2P1P2/2P1PN1P/2QN2P1/RR4K1 w - - 2 21,a4a5,-54
2rqr1k1/pp4bp/3np1p1/P2p1p2/3P1P2/2P1PN1P/2QN2P1/RR4K1 b - - 0 21,e8e7,-57
2rq2k1/pp2r1bp/3np1p1/P2p1p2/3P1P2/2P1PN1P/2QN2P1/RR4K1 w - - 1 22,f3e5,-59
2rq2k1/pp2r1bp/3np1p1/P2pNp2/3P1P2/2P1P2P/2QN2P1/RR4K1 b - - 2 22,e7c7,-74
2rq2k1/ppr3bp/3np1p1/P2pNp2/3P1P2/2P1P2P/2QN2P1/RR4K1 w - - 3 23,b1b3,-73
2rq2k1/ppr3bp/3np1p1/P2pNp2/3P1P2/1RP1P2P/2QN2P1/R5K1 b - - 4 23,g6g5,-68
2rq2k1/ppr3bp/3np3/P2pNpp1/3P1P2/1RP1P2P/2QN2P1/R5K1 w - - 0 24,e5d3,-56
2rq2k1/ppr3bp/3np3/P2p1pp1/3P1P2/1RPNP2P/2QN2P1/R5K1 b - - 1 24,g7f6,-69
2rq2k1/ppr4p/3npb2/P2p1pp1/3P1P2/1RPNP2P/2QN2P1/R5K1 w - - 2 25,d3c5,-42
2rq2k1/ppr4p/3npb2/P1Np1pp1/3P1P2/1RP1P2P/2QN2P1/R5K1 b - - 3 25,d8e8,-34
